Full of life & exciting [Latitude],Full of life & exciting [Longitude],Full of life & exciting [# times visited],Full of life & exciting [Duration],Chaotic & restless [Latitude],Chaotic & restless [Longitude],Chaotic & restless [# times visited],Chaotic & restless [Duration],Calm & tranquil [Latitude],Calm & tranquil [Longitude],Calm & tranquil [# times visited],Calm & tranquil [Duration],Boring & lifeless [Latitude],Boring & lifeless [Longitude],Boring & lifeless [# times visited],Boring & lifeless [Duration]
1.3782507,103.9545276,4,120.0,1.352697390090129,103.94542600078698,4,10,1.3909433,103.9920554,4,90,1.385,103.9455556,2,45
1.3919184184427469,103.989945176474,4,90.0,1.389649863784558,103.98791353868104,4,60,1.363489784910766,103.94805591271974,1,120,1.3413025,103.9245499,1,15
1.3791368197441758,103.95197171528322,4,480.0,1.3625030112696246,103.9925162093506,4,240,1.300549990627205,103.91329448388672,3,360,1.3755455518650992,103.96779697106936,3,120
1.3187949,103.8927472,3,120.0,1.3239356,103.9312813,1,30,1.3909433,103.9920554,1,120,1.3258823,103.9083537,1,30
1.3598859140036526,103.9898125426636,4,240.0,1.3354072,103.9256192,4,120,1.3909433,103.9920554,4,180,1.3776279,103.9546233,1,30
1.3250911237951626,103.9309756057129,1,60.0,1.3326850967216346,103.93728416131592,1,30,1.3863999803380571,103.97153060601808,1,800,1.3441832710052493,103.95131747888183,1,60
1.353536223606841,103.94037406610109,4,150.0,1.3538097325735876,103.9450598852501,4,20,1.3636184944863172,103.94809882806398,1,240,1.3602505916617946,103.931533505188,1,15
1.3896176867425192,103.98487727807618,3,30.0,1.3311405617477845,103.94784133599856,2,60,1.3897892976277657,103.9752642409668,1,100,1.361988172687672,103.94728343652343,2,15
1.3911514585866602,103.98722689317324,4,15.0,1.3528926729751962,103.9451483981476,2,15,1.3917413705689488,103.97588651345826,2,60,1.3218197017215922,103.91446392701722,4,45
1.3542075,103.9435079,2,20.0,1.3742949822427364,103.93245353016408,1,120,1.362212,103.974025,3,40,1.3140113,103.8807331,1,10
1.37645180441971,103.95475581401062,1,30.0,1.391762821911,103.98000638650514,1,30,1.3847267712783151,103.9454380767212,1,60,1.3727354052061946,103.94969742463684,1,10
1.3725402,103.9517213,4,120.0,1.3602082,103.9897593,4,30,1.3909433,103.9920554,1,30,1.3905219,103.980521,1,30
1.4043485,103.793023,3,360.0,1.4293478,103.8358671,3,180,1.411778,103.8443315,1,180,1.4386045414325674,103.737251255542,1,60
1.3530231,103.93942,3,120.0,1.3236038,103.9273405,4,60,1.3909433,103.9920554,3,60,1.349177,103.967629,2,30
1.3605294627749778,103.98976962731936,3,70.0,1.3147941741909974,103.94146840737916,1,90,1.390990573474974,103.99174373315432,2,90,1.3267429221520723,103.91297261880494,4,250
1.3527655524458952,103.94485743430178,4,180.0,1.3236038,103.9273405,4,120,1.2987408899972257,103.90557662275393,4,270,1.3256113270293066,103.922314077771,2,60
1.3623313984211998,103.9907137648926,4,240.0,1.3533431584353035,103.94393603967286,4,120,1.408151589977747,103.92393748925782,1,120,1.399313682161356,103.8852278487549,4,60
1.353880446278656,103.94353518623046,2,90.0,1.3142107464262622,103.87788359675906,4,20,1.3906746,103.9883041,1,120,1.3553534,103.9891719,2,90
